,lrd,lrg,epochs,SR_val,type,ticker,hid_g,hid_d,RMSE,MAE,SR_w scaled,PnL_w,Close-to-Open SR_w,Open-to-Close SR_w,Corr,Pos mn,Neg mn,narrow dist,narrow means dist,RMSE val,MAE val,PnL_w val,SR_w scaled val,Corr val,Pos mn val,Neg mn val
0,0.0001,0.0001,100.0,,PnL,TCS,8.0,8.0,0.006841221824288368,0.0050094351172447205,-2.598716646392197,-3.3502998622384106,-2.2007881070859185,-1.6387757893620232,-0.10560008874915787,0.4501915708812261,0.5498084291187739,False,False,0.008630411699414253,0.006145150866359472,1.3035071382728907,0.49565052171072654,0.04628961215751888,0.4980769230769231,0.5019230769230769
1,0.0001,0.0001,100.0,,PnL MSE,TCS,8.0,8.0,0.006504843011498451,0.004599025007337332,0.43933796203804804,0.4887454236261689,0.1751269768085893,0.39705253478607433,0.059859118127358224,0.5977011494252874,0.40229885057471265,False,False,0.008532218635082245,0.005930760409682989,1.8245285618763702,1.002105429905247,0.06216044389523363,0.5307692307692308,0.46923076923076923
2,0.0001,0.0001,100.0,,PnL MSE STD,TCS,8.0,8.0,0.006664141546934843,0.004799923859536648,0.3935813210620297,0.4946040880520225,-0.7027696813076569,0.9326015208658734,0.06684925516144326,0.7452107279693486,0.2547892720306513,False,False,0.00870079267770052,0.006229042541235685,0.8943115702042213,0.5617034122095197,0.03622524559439432,0.7230769230769231,0.27692307692307694
3,0.0001,0.0001,100.0,,PnL MSE SR,TCS,8.0,8.0,0.007380725350230932,0.005591857247054577,1.6970344537355495,5.83098081108254,-0.017221028316245394,2.0719108770265438,0.10133530665602769,0.6436781609195402,0.3563218390804598,False,False,0.0092555470764637,0.006861974950879812,10.414147054117459,2.0577933424001023,0.1173349633544498,0.6019230769230769,0.39807692307692305
4,0.0001,0.0001,100.0,,PnL SR,TCS,8.0,8.0,0.007343037985265255,0.005583775229752064,1.6912370900116622,6.797216575949585,0.032284879714656996,1.9286498714663347,0.08579282736092347,0.5996168582375478,0.4003831417624521,False,False,0.00925229862332344,0.00684126652777195,13.267098262218328,2.1232552070633015,0.11967632061964736,0.5423076923076923,0.4576923076923077
5,0.0001,0.0001,100.0,,PnL STD,TCS,8.0,8.0,0.1444440484046936,0.14306053519248962,1.6723909475072969,8.928768036465993,2.257476625533309,0.5170009103960671,0.11774724543769671,0.0,1.0,False,False,0.14359931647777557,0.14166311919689178,4.740365976553697,0.6793909767277546,0.14990462111382355,0.0,1.0
6,0.0001,0.0001,100.0,,SR,TCS,8.0,8.0,0.3764510750770569,0.37359705567359924,1.6723909475072969,8.928768036465993,2.257476625533309,0.5170009103960671,0.08705256518793955,0.0,1.0,False,False,0.36929675936698914,0.3644862473011017,4.740365976553697,0.6793909767277546,0.14450532959893583,0.0,1.0
7,0.0001,0.0001,100.0,,SR MSE,TCS,8.0,8.0,0.06890641897916794,0.055991046130657196,2.4665362645294526,13.81773560896687,2.203242686894965,1.6420450788026064,0.10209376174427906,0.20881226053639848,0.7911877394636015,False,False,0.07035211473703384,0.05610693246126175,17.148331306530878,2.3938116930140754,0.11856509522951617,0.2673076923076923,0.7326923076923076
8,0.0001,0.0001,100.0,,MSE,TCS,8.0,8.0,0.007712486665695906,0.005893992725759745,-0.7004512351130723,-3.3805216708402526,-0.049563541732232215,-0.8037361832215447,-0.027058005977999306,0.4099616858237548,0.5900383141762452,False,False,0.009951976127922535,0.0074899205937981606,-11.548833463742183,-1.9707726801061922,-0.09717112734691596,0.4596153846153846,0.5403846153846154
9,0.0001,0.0001,100.0,,BCE,TCS,8.0,8.0,0.007704241666942835,0.005890584085136652,-0.7145863458050143,-3.4187939747083234,-0.058601840649994054,-0.8130784685435428,-0.025313261011160135,0.4061302681992337,0.5938697318007663,False,False,0.009952870197594166,0.007492372766137123,-11.646571947061098,-1.9800250155074086,-0.09789442150895544,0.4596153846153846,0.5403846153846154
